Table S2: IEI Candidate Genes with high (>.9) pLI Filter,pLI,AssociatedGene,pNull,pRec,InItan,Pathway1,Pathway2,BothPathways
134,0.99577,CSNK1D,6.44E-08,0.0042344,KNOWN,TRUE,TRUE,TRUE
135,0.99926,CSNK1E,4.56E-09,0.00074238,KNOWN,TRUE,TRUE,TRUE
136,0.98711,CSNK2A1,8.13E-09,0.012893,NEW,TRUE,TRUE,TRUE
137,0.9994,CSNK2A2,5.40E-10,0.00059605,KNOWN,TRUE,TRUE,TRUE
138,0.91728,CSNK2B,0.00010065,0.082619,KNOWN,TRUE,TRUE,TRUE
139,0.98442,CTBP1,1.56E-06,0.015579,KNOWN,FALSE,TRUE,FALSE
140,0.99994,CTCF,1.90E-12,5.87E-05,KNOWN,TRUE,FALSE,FALSE
141,0.96962,CTNNA1,1.13E-10,0.030382,NEW,TRUE,TRUE,TRUE
142,0.99999,CTNNB1,2.63E-14,1.01E-05,KNOWN,TRUE,TRUE,TRUE
143,0.99999,CTNND1,2.96E-16,1.15E-05,NEW,FALSE,TRUE,FALSE
144,1,CTNND2,3.21E-24,1.66E-09,KNOWN,FALSE,TRUE,FALSE
145,1,CUL1,5.05E-19,4.35E-07,KNOWN,FALSE,TRUE,FALSE
146,1,CUX1,2.68E-23,5.47E-08,KNOWN,TRUE,FALSE,FALSE
147,0.99993,CYLD,2.36E-14,6.92E-05,KNOWN,TRUE,TRUE,TRUE
148,0.99981,CYTH1,1.64E-10,0.00018958,NEW,TRUE,FALSE,FALSE
149,0.99918,DAAM1,3.35E-15,0.0008246,NEW,TRUE,FALSE,FALSE
150,0.99995,DAB2IP,1.05E-14,4.96E-05,NEW,TRUE,TRUE,TRUE
151,0.98117,DAG1,5.04E-07,0.018831,KNOWN,FALSE,TRUE,FALSE
152,0.99767,DAPK1,1.72E-15,0.0023304,KNOWN,TRUE,TRUE,TRUE
153,0.99296,DBF4,1.85E-09,0.0070405,KNOWN,TRUE,TRUE,TRUE
