Table S8: IEI Candidate Genes with Average in T Cells > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
300,T cell,DIABLO,18.42142857,KNOWN,FALSE,TRUE,FALSE,,
301,T cell,DIAPH1,21.45714286,NEW,TRUE,TRUE,TRUE,,
302,T cell,DIS3L2,4.742857143,NEW,TRUE,FALSE,FALSE,,
303,T cell,DMAP1,30,KNOWN,FALSE,TRUE,FALSE,,
304,T cell,DNAJA3,8.828571429,KNOWN,FALSE,TRUE,FALSE,,
305,T cell,DNAJB12,10.85714286,NEW,TRUE,FALSE,FALSE,,
306,T cell,DNAJC5,2.814285714,KNOWN,FALSE,TRUE,FALSE,,
307,T cell,DNM1L,6.971428571,NEW,TRUE,FALSE,FALSE,,
308,T cell,DNM2,3.428571429,KNOWN,TRUE,TRUE,TRUE,,
309,T cell,DNMT1,22.11428571,KNOWN,TRUE,FALSE,FALSE,,
310,T cell,DOCK10,8.342857143,NEW,TRUE,FALSE,FALSE,,
311,T cell,DOK1,5.9,KNOWN,TRUE,TRUE,TRUE,,
312,T cell,DPM1,19.27142857,NEW,FALSE,TRUE,FALSE,,
313,T cell,DPP4,13.9,KNOWN,FALSE,TRUE,FALSE,,
314,T cell,DPYD,13.41428571,NEW,TRUE,FALSE,FALSE,,
315,T cell,DPYSL2,6.828571429,NEW,TRUE,FALSE,FALSE,,
316,T cell,DTNA,1.5,NEW,TRUE,FALSE,FALSE,,
317,T cell,DTNB,4.471428571,NEW,TRUE,FALSE,FALSE,,
318,T cell,DTNBP1,14.51428571,KNOWN,TRUE,FALSE,FALSE,,
319,T cell,DTWD1,10.38571429,NEW,TRUE,FALSE,FALSE,,
320,T cell,DTX3L,10.22857143,NEW,TRUE,FALSE,FALSE,,
321,T cell,DUSP1,83.48571429,KNOWN,TRUE,TRUE,TRUE,,
322,T cell,DUSP10,4.357142857,KNOWN,TRUE,TRUE,TRUE,,
323,T cell,DUSP11,66.31428571,NEW,TRUE,FALSE,FALSE,,
324,T cell,DUSP16,1.385714286,KNOWN,FALSE,TRUE,FALSE,,
